UNIX time,value,sumcheck
1610001085,1,39
1610001095,1,40
1610001147,1,41
1610001586,1,42
1610001805,-1,41
1610001819,-1,40
1610001830,1,41
1610001836,-1,40
1610001957,1,41
1610002137,1,42
1610002212,1,43
1610002270,1,44
1610002330,1,45
1610002435,1,46
1610002478,1,47
1610002612,1,48
1610002735,1,49
1610002833,1,50
1610002902,1,51
1610003062,1,52
1610003225,1,53
1610003477,-1,52
1610003508,-1,51
1610003537,-1,50
1610003545,-1,49
1610003570,1,50
1610003666,1,51
1610003669,1,52
1610003868,1,53
1610003877,1,54
1610003889,1,55
1610003947,1,56
1610004023,1,57
1610004129,1,58
1610004151,1,59
1610004196,1,60
1610004992,1,61
1610005405,1,62
1610005599,1,63
1610005638,-1,62
1610005645,1,63
1610005781,-1,62
1610005914,1,63
1610005972,1,64
1610006640,-1,63
1610007485,1,64
1610008684,-1,63
1610009042,-1,62
1610009082,1,63
1610009295,-1,62
1610009320,1,63
1610009399,1,64
1610009690,-1,63
1610009729,1,64
1610009884,1,65
1610009921,1,66
1610010903,1,67
1610011011,-1,66
1610011165,1,67
1610011450,1,68
1610011664,1,69
1610011801,1,70
1610012545,-1,69
1610012595,-1,68
1610012830,-1,67
1610013005,1,68
1610013013,-1,67
1610013032,-1,66
1610013178,1,67
1610014049,1,68
1610014089,-1,67
1610014125,-1,66
1610014649,-1,65
1610016163,-1,64
1610016178,-1,63
1610016596,-1,62
1610016611,1,63
1610016611,1,64
1610016616,1,65
1610016617,1,66
1610016621,1,67
1610016795,1,68
1610016993,1,69
1610017084,1,70
1610017086,-1,69
1610017118,-1,68
1610017121,-1,67
1610017268,1,68
1610017432,-1,67
1610017696,1,68
1610017700,-1,67
1610017811,-1,66
1610017817,-1,65
1610017835,-1,64
1610017835,-1,63
1610017851,1,64
1610017854,1,65
1610018216,1,66
1610018257,1,67
1610019373,-1,66
1610019779,-1,65
1610019782,-1,64
1610019786,-1,63
1610019905,-1,62
1610020196,-1,61
1610020208,1,62
1610020213,1,63
1610020218,1,64
1610020288,1,65
1610020594,1,66
1610020644,-1,65
1610021065,-1,64
1610021199,-1,63
1610021663,1,64
1610021765,1,65
1610021917,1,66
1610022183,1,67
1610022340,-1,66
1610022569,1,67
1610022853,1,68
1610023424,1,69
1610023428,-1,68
1610023443,-1,67
1610023813,-1,66
1610024204,-1,65
1610024217,1,66
1610024310,1,67
1610024439,1,68
1610024441,1,69
1610024946,-1,68
1610025075,-1,67
1610025099,1,68
1610025223,1,69
1610025586,-1,68
1610025609,-1,67
1610025684,1,68
1610025903,-1,67
1610026007,-1,66
1610026960,1,67
1610027316,-1,66
1610027376,-1,65
1610027405,1,66
1610027505,-1,65
1610027767,-1,64
1610028220,1,65
1610028364,-1,64
1610028540,-1,63
1610028617,-1,62
1610028620,-1,61
1610029552,1,62
1610029763,1,63
1610029910,-1,62
1610030027,-1,61
1610030775,1,62
1610030883,-1,61
1610030994,-1,60
1610031235,1,61
1610031236,-1,60
1610031318,-1,59
1610031994,1,60
1610032252,-1,59
1610032302,-1,58
1610032329,1,59
1610032566,-1,58
1610032606,1,59
1610033580,-1,58
1610034026,-1,57
1610034238,-1,56
1610034243,-1,55
1610034319,-1,54
1610034352,-1,53
1610034353,-1,52
1610034384,1,53
1610034493,-1,52
1610034558,1,53
1610034587,1,54
1610034591,-1,53
1610034594,-1,52
1610034610,1,53
1610034613,1,54
1610034634,1,55
1610034652,1,56
1610034688,-1,55
1610034871,-1,54
1610034975,-1,53
1610034996,-1,52
1610035044,-1,51
1610035139,-1,50
1610035247,-1,49
1610035271,-1,48
1610035478,-1,47
1610035557,-1,46
1610035734,-1,45
1610036448,-1,44
1610036568,1,45
1610036625,-1,44
1610036627,-1,43
1610036741,-1,42
1610036743,-1,41
1610036786,-1,40
1610037233,1,41
1610037505,-1,40
1610037748,-1,39
1610037845,1,40
1610037854,1,41
1610037867,-1,40
1610037934,-1,39
1610037944,-1,38
1610038004,-1,37
1610038022,-1,36
1610038057,-1,35
1610038153,-1,34
1610038171,-1,33
1610038179,-1,32
1610038253,-1,31
1610038283,-1,30
1610038720,-1,29
1610039231,-1,28
1610039545,-1,27
1610039662,-1,26
1610039741,-1,25
1610040121,-1,24
1610041170,-1,23
1610041197,-1,22
1610041376,-1,21
1610041465,1,22
1610041471,1,23
1610041473,-1,22
1610041508,1,23
1610041533,-1,22
1610041645,-1,21
1610041761,-1,20
1610041762,-1,19
1610041762,-1,18
1610041854,-1,17
1610041909,-1,16
1610042142,-1,15
1610042152,-1,14
1610042158,-1,13
1610042213,-1,12
1610042264,-1,11
1610042492,-1,10
1610042622,-1,9
1610042727,-1,8
1610043889,1,9
1610043952,-1,8
1610044075,-1,7
1610044224,-1,6
1610045034,1,7
1610045063,1,8
1610045398,-1,7
1610045404,-1,6
1610046766,-1,5
1610048647,1,6
1610049573,-1,5
1610050226,1,6
1610050264,1,7
1610050612,-1,6
1610050634,-1,5
1610052173,1,6
1610052178,1,7
1610052293,-1,6
1610052558,-1,5
1610053072,-1,4
1610054748,-1,3
1610055641,1,4
1610055799,1,5
1610055818,1,6
1610055819,1,7
1610055819,1,8
1610055824,1,9
1610056108,-1,8
1610056156,-1,7
1610056158,-1,6
1610056173,-1,5
1610056174,-1,4
1610059484,1,5
1610059758,-1,4
1610064154,1,5
1610064157,1,6
1610064157,1,7
1610064157,1,8
1610064173,1,9
1610079085,-1,8
1610079087,-1,7
1610079090,-1,6
1610079095,-1,5
1610079097,-1,4
1610080144,1,5
1610081998,1,6
1610082330,1,7
1610082554,-1,6
1610082647,1,7
1610082656,1,8
1610083003,-1,7
1610083006,-1,6
1610083119,1,7
1610083388,1,8
1610083392,1,9
1610083598,1,10
1610083836,1,11
1610083932,1,12
1610084030,1,13
1610084630,1,14
1610084644,1,15
